,ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End,Day,Day1,minutes
1852,DRG2,BRS2,DRG2->BRS2,3/19/2024 23:59,3/19/2024,22:00,23:30,3/20/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,,,,,,,2024-03-19,Tue,1320
1853,DRG2,BRS2,DRG2->BRS2,3/20/2024 23:59,3/20/2024,6:00,7:30,3/20/2024,9:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,6:00-9:00,,6:00,9:00,,,2024-03-20,Wed,360
1854,DRG2,BRS2,DRG2->BRS2,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,10:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,6:00-9:00,7:00-18:00,6:00,9:00,7:00,18:00,2024-03-20,Wed,420
1855,DRG2,BRS2,DRG2->BRS2,3/20/2024 23:59,3/20/2024,22:00,23:30,3/21/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,,,,,,,2024-03-20,Wed,1320
1856,DRG2,BRS2,DRG2->BRS2,3/21/2024 23:59,3/21/2024,6:00,7:30,3/21/2024,9:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,6:00-9:00,,6:00,9:00,,,2024-03-21,Thu,360
1857,DRG2,BRS2,DRG2->BRS2,3/21/2024 23:59,3/21/2024,7:00,8:30,3/21/2024,10:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,6:00-9:00,7:00-18:00,6:00,9:00,7:00,18:00,2024-03-21,Thu,420
1858,DRG2,BRS2,DRG2->BRS2,3/21/2024 23:59,3/21/2024,22:00,23:30,3/22/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,,,,,,,2024-03-21,Thu,1320
1859,DRG2,BRS2,DRG2->BRS2,3/22/2024 23:59,3/22/2024,6:00,7:30,3/22/2024,9:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,6:00-9:00,,6:00,9:00,,,2024-03-22,Fri,360
1860,DRG2,BRS2,DRG2->BRS2,3/22/2024 23:59,3/22/2024,7:00,8:30,3/22/2024,10:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,6:00-9:00,7:00-18:00,6:00,9:00,7:00,18:00,2024-03-22,Fri,420
1861,DRG2,BRS2,DRG2->BRS2,3/22/2024 23:59,3/22/2024,22:00,23:30,3/23/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,,,,,,,2024-03-22,Fri,1320
