ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End
DME4,LCY3,DME4->LCY3,3/23/2024 23:59,3/22/2024,22:30,0:00,3/23/2024,0:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DME4,LCY3,DME4->LCY3,3/23/2024 23:59,3/22/2024,23:00,0:30,3/23/2024,1:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DME4,LCY3,DME4->LCY3,3/23/2024 23:59,3/22/2024,23:30,1:00,3/23/2024,1:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/18/2024 23:59,3/18/2024,11:00,12:30,3/18/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/18/2024 23:59,3/18/2024,12:00,13:30,3/18/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/19/2024 23:59,3/19/2024,11:00,12:30,3/19/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/19/2024 23:59,3/19/2024,11:30,13:00,3/19/2024,15:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/19/2024 23:59,3/19/2024,12:00,13:30,3/19/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/20/2024 23:59,3/20/2024,11:00,12:30,3/20/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/20/2024 23:59,3/20/2024,12:00,13:30,3/20/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/21/2024 23:59,3/21/2024,11:00,12:30,3/21/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/21/2024 23:59,3/21/2024,11:30,13:00,3/21/2024,15:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/21/2024 23:59,3/21/2024,12:00,13:30,3/21/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/22/2024 23:59,3/22/2024,11:00,12:30,3/22/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/22/2024 23:59,3/22/2024,11:30,13:00,3/22/2024,15:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/22/2024 23:59,3/22/2024,12:00,13:30,3/22/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/23/2024 23:59,3/23/2024,11:00,12:30,3/23/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
